ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
space,8.65295,right,1.433635,left,2.599675,space,6.799435,right,1,1.009255,0,0,0,18,1,megy,1,right,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,0,0.769935,0,1,1,20,1,igaz,1,right,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.285055,0,2,2,17,1,kap,1,right,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,right,1,0.990175,0,0,0,10,1,verseny,2,right,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.529695,0,1,1,3,1,számít,2,right,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,right,1,1.012255,0,0,0,12,1,időszak,3,right,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.54546,0,1,1,21,1,hatékony,3,right,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,right,0,1.889985,0,0,0,0,1,maszt,4,left,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.118745,0,1,1,16,1,föld,4,right,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.352455,0,2,2,8,1,zenekar,4,right,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,0,3,3,3,1,blocks/block_4.xlsx
,,,,,,,,right,1,0.881705,0,0,0,5,1,folyik,5,right,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,2.54667,0,1,1,20,1,skadai,5,left,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,0,4,4,4,1,blocks/block_5.xlsx
,,,,,,,,right,1,0.767885,0,0,0,0,1,olaj,6,right,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.30003,0,1,1,22,1,célszerű,6,right,6,férfi,2005.10.06.,7,2020-09-29_14h20.27.046,lexdecspan,2020.1.2,Win32,60,,,,,,
