ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
right,15.707885,right,0.82698,left,0.66738,right,9.26009,right,1,0.88446,0,0,0,11,1,augusztus,1,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.558885,0,1,1,13,1,rövid,1,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,right,1,0.73535,0,0,0,8,1,speciális,2,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.45865,0,1,1,4,1,friss,2,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,right,1,0.607495,0,0,0,15,1,tetszik,3,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.58405,0,1,1,10,1,ár,3,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,right,1,0.55699,0,0,0,22,1,boldog,4,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.623825,0,1,1,1,1,színű,4,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,0,3,3,3,1,blocks/block_4.xlsx
,,,,,,,,right,1,0.584265,0,0,0,9,1,szexuális,5,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.58871,0,1,1,10,1,komplex,5,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,0,4,4,4,1,blocks/block_5.xlsx
,,,,,,,,right,1,0.677245,0,0,0,12,1,öröm,6,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.43299,0,1,1,9,1,ég,6,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,0,5,5,5,1,blocks/block_6.xlsx
,,,,,,,,right,1,0.51926,0,0,0,8,1,halad,7,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,0.570225,0,1,1,17,1,rohangsári,7,left,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,0,6,6,6,1,blocks/block_7.xlsx
,,,,,,,,right,1,0.530515,0,0,0,8,1,extrém,8,right,5064,Nő,1967.12.15.,18,2020-09-26_17h10.31.373,lexdecspan,2020.1.2,Win32,60,,,,,,
