ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
return,1.62,right,1.636,left,0.887,right,6.169,right,1,0.556,0,0,0,14,1,intézmény,1,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,0.531,0,1,1,21,1,komoly,1,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,right,1,0.51,0,0,0,2,1,nyelv,2,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,left,1,0.934,0,1,1,20,1,felján,2,left,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,right,1,0.496,0,0,0,17,1,gond,3,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,0.694,0,1,1,15,1,tetszik,3,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,left,1,1.949,0,0,0,15,1,recialice,4,left,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,0.736,0,1,1,6,1,plusz,4,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,0,3,3,3,1,blocks/block_4.xlsx
,,,,,,,,right,1,0.915,0,0,0,5,1,folyik,5,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,1.146,0,1,1,15,1,tartalom,5,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,0,4,4,4,1,blocks/block_5.xlsx
,,,,,,,,right,1,1,0,0,0,8,1,helyezkedik,6,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,1.1,0,1,1,13,1,vendég,6,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,0,5,5,5,1,blocks/block_6.xlsx
,,,,,,,,right,1,1.216,0,0,0,8,1,halad,7,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,1.042,0,1,1,3,1,karakter,7,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,0,6,6,6,1,blocks/block_7.xlsx
,,,,,,,,right,1,1.339,0,0,0,13,1,kapu,8,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,1.306,0,1,1,3,1,felsőfokú,8,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,0,7,7,7,1,blocks/block_8.xlsx
,,,,,,,,left,1,1.44,0,0,0,5,1,keritkol,9,left,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,1.266,0,1,1,9,1,remény,9,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,0,8,8,8,1,blocks/block_9.xlsx
,,,,,,,,right,1,1.639,0,0,0,21,1,erejű,10,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,0.991,0,1,1,6,1,sokoldalú,10,right,5081,férfi,1965,12,2020-09-30_07h20.05.943,lexdecspan,2020.1.2,MacIntel,60,,,,,,
