ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
right,30.573,right,2.451,left,1.754,right,8.292,left,1,2.685,0,0,0,7,1,szigon,1,left,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.128,0,1,1,21,1,komoly,1,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,left,1,2.458,0,0,0,23,1,átrális,2,left,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.839,0,1,1,5,1,gyerek,2,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,left,1,1.974,0,0,0,0,1,bolyodás,3,left,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.993,0,1,1,2,1,esemény,3,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,left,1,1.879,0,0,0,21,1,üvesi,4,left,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,2.749,0,1,1,20,1,néghajóti,4,left,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,3,3,3,1,blocks/block_4.xlsx
,,,,,,,,right,1,0.932,0,0,0,17,1,siker,5,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.793,0,1,1,6,1,hatalom,5,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,4,4,4,1,blocks/block_5.xlsx
,,,,,,,,right,1,1.4,0,0,0,16,1,könyvtár,6,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.927,0,1,1,10,1,optimális,6,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,5,5,5,1,blocks/block_6.xlsx
,,,,,,,,left,1,3.252,0,0,0,5,1,kiskolható,7,left,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.738,0,1,1,1,1,tenger,7,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,6,6,6,1,blocks/block_7.xlsx
,,,,,,,,right,1,0.775,0,0,0,8,1,extrém,8,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,5.971,0,1,1,1,1,átütésetti,8,left,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,7,7,7,1,blocks/block_8.xlsx
,,,,,,,,right,1,1.123,0,0,0,9,1,remény,9,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,2.06,0,1,1,6,1,reagál,9,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,8,8,8,1,blocks/block_9.xlsx
,,,,,,,,right,1,1.126,0,0,0,8,1,dán,10,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.64,0,1,1,19,1,trend,10,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,9,9,9,1,blocks/block_10.xlsx
,,,,,,,,right,1,0.755,0,0,0,16,1,beton,11,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.545,0,1,1,21,1,vád,11,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,10,10,10,1,blocks/block_11.xlsx
,,,,,,,,right,1,1.626,0,0,0,0,1,gyárt,12,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.196,0,1,1,12,1,pogány,12,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,11,11,11,1,blocks/block_12.xlsx
,,,,,,,,right,1,0.91,0,0,0,23,1,lebeg,13,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,2.115,0,1,1,8,1,turné,13,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,12,12,12,1,blocks/block_13.xlsx
,,,,,,,,right,1,1.277,0,0,0,11,1,diktátor,14,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.067,0,1,1,5,1,szobrász,14,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,13,13,13,1,blocks/block_14.xlsx
,,,,,,,,right,1,1.469,0,0,0,13,1,rak,15,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,2.041,0,1,1,20,1,zártkörű,15,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,14,14,14,1,blocks/block_15.xlsx
,,,,,,,,right,1,1.159,0,0,0,12,1,ólom,16,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,2.586,0,1,1,1,1,égitest,16,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,15,15,15,1,blocks/block_16.xlsx
,,,,,,,,right,1,3.283,0,0,0,7,1,értékesít,17,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,2.728,0,1,1,10,1,napkollektor,17,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,16,16,16,1,blocks/block_17.xlsx
,,,,,,,,left,1,1.52,0,0,0,18,1,taszt,18,left,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.808,0,1,1,4,1,lépték,18,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,17,17,17,1,blocks/block_18.xlsx
,,,,,,,,right,1,1.183,0,0,0,21,1,zörög,19,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.495,0,1,1,4,1,könnyelmű,19,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,18,18,18,1,blocks/block_19.xlsx
,,,,,,,,left,0,3.926,0,0,0,19,1,sárgaréz,20,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,0,1.548,0,1,1,7,1,fon,20,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,0,4.027,0,2,2,22,1,holografikus,20,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,19,19,19,1,blocks/block_20.xlsx
,,,,,,,,left,0,1.661,0,0,0,7,1,cáfol,21,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.803,0,1,1,2,1,fűtőanyag,21,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.269,0,2,2,19,1,tanácsol,21,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,20,20,20,1,blocks/block_21.xlsx
,,,,,,,,right,1,1.308,0,0,0,15,1,nárcisz,22,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.427,0,1,1,14,1,szokik,22,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,21,21,21,1,blocks/block_22.xlsx
,,,,,,,,left,1,1.706,0,0,0,9,1,csatkó,23,left,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,6.88,0,1,1,18,1,camembert,23,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,22,22,22,1,blocks/block_23.xlsx
,,,,,,,,right,1,1.59,0,0,0,20,1,csatázik,24,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,2.362,0,1,1,12,1,tanrend,24,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,0,23,23,23,1,blocks/block_24.xlsx
,,,,,,,,right,1,1.798,0,0,0,18,1,tipográfus,25,right,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,1.92,0,1,1,2,1,felezéri,25,left,5209,nö,2004,10,2020-10-16_20h59.40.914,lexdecspan,2020.1.2,Win32,60,,,,,,
