ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
right,16.47,right,0.963,left,0.911,right,7.36,right,1,0.712,0,0,0,11,1,augusztus,1,right,5214,férfi,1998.05.10,11,2020-10-20_15h51.16.983,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,left,1,1.059,0,1,1,4,1,pirodáló,1,left,5214,férfi,1998.05.10,11,2020-10-20_15h51.16.983,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5214,férfi,1998.05.10,11,2020-10-20_15h51.16.983,lexdecspan,2020.1.2,MacIntel,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,right,1,1.125,0,0,0,13,1,típusú,2,right,5214,férfi,1998.05.10,11,2020-10-20_15h51.16.983,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,0.578,0,1,1,2,1,nyelv,2,right,5214,férfi,1998.05.10,11,2020-10-20_15h51.16.983,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5214,férfi,1998.05.10,11,2020-10-20_15h51.16.983,lexdecspan,2020.1.2,MacIntel,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,right,1,0.582,0,0,0,11,1,függ,3,right,5214,férfi,1998.05.10,11,2020-10-20_15h51.16.983,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,0.544,0,1,1,2,1,esemény,3,right,5214,férfi,1998.05.10,11,2020-10-20_15h51.16.983,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5214,férfi,1998.05.10,11,2020-10-20_15h51.16.983,lexdecspan,2020.1.2,MacIntel,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,right,1,0.534,0,0,0,16,1,föld,4,right,5214,férfi,1998.05.10,11,2020-10-20_15h51.16.983,lexdecspan,2020.1.2,MacIntel,60,,,,,,
