ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
space,10.13776,right,1.059215,left,1.333615,space,6.42265,right,1,0.78088,0,0,0,9,1,kép,1,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.86512,0,1,1,1,1,szeptember,1,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,right,1,1.049415,0,0,0,9,1,digitális,2,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.87461,0,1,1,13,1,típusú,2,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,right,1,0.75103,0,0,0,2,1,esemény,3,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.72578,0,1,1,11,1,függ,3,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,right,1,0.557525,0,0,0,10,1,kész,4,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.74795,0,1,1,1,1,színű,4,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,3,3,3,1,blocks/block_4.xlsx
,,,,,,,,left,1,2.63115,0,0,0,20,1,skadai,5,left,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.71592,0,1,1,14,1,szegény,5,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,4,4,4,1,blocks/block_5.xlsx
,,,,,,,,right,1,0.59833,0,0,0,5,1,üveg,6,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.580725,0,1,1,16,1,könyvtár,6,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,5,5,5,1,blocks/block_6.xlsx
,,,,,,,,right,1,0.53116,0,0,0,3,1,karakter,7,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.484075,0,1,1,13,1,vagyon,7,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,6,6,6,1,blocks/block_7.xlsx
,,,,,,,,right,1,0.96231,0,0,0,15,1,hagy,8,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.619465,0,1,1,0,1,krém,8,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,7,7,7,1,blocks/block_8.xlsx
,,,,,,,,right,1,0.725305,0,0,0,21,1,gróf,9,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,0,0.754015,0,1,1,23,1,lábtörög,9,left,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,2.95038,0,2,2,14,1,indezget,9,left,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,8,8,8,1,blocks/block_9.xlsx
,,,,,,,,right,1,0.868795,0,0,0,18,1,minimálbér,10,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.603955,0,1,1,5,1,keskeny,10,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,9,9,9,1,blocks/block_10.xlsx
,,,,,,,,right,1,0.527015,0,0,0,17,1,színpad,11,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,2.876205,0,1,1,19,1,gyóka,11,left,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,10,10,10,1,blocks/block_11.xlsx
,,,,,,,,right,1,0.71208,0,0,0,12,1,pogány,12,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.588105,0,1,1,4,1,ékszer,12,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,11,11,11,1,blocks/block_12.xlsx
,,,,,,,,right,1,0.582595,0,0,0,4,1,keresztyén,13,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.73914,0,1,1,18,1,kilogramm,13,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,12,12,12,1,blocks/block_13.xlsx
,,,,,,,,right,1,0.932035,0,0,0,7,1,kulináris,14,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.725845,0,1,1,2,1,torz,14,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,13,13,13,1,blocks/block_14.xlsx
,,,,,,,,right,1,0.60257,0,0,0,19,1,sampon,15,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,2.752105,0,1,1,2,1,tajtásos,15,left,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,14,14,14,1,blocks/block_15.xlsx
,,,,,,,,right,1,0.703765,0,0,0,1,1,égitest,16,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,0,2.888815,0,1,1,8,1,numer,16,left,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.71032,0,2,2,15,1,osztozik,16,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,15,15,15,1,blocks/block_16.xlsx
,,,,,,,,left,1,3.119055,0,0,0,14,1,engelétei,17,left,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.63645,0,1,1,11,1,végbél,17,right,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5036,férfi,2002,11,2020-09-29_13h29.33.297,lexdecspan,2020.1.2,Win32,60,0,16,16,16,1,blocks/block_17.xlsx
