ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
space,26.21,right,1.439,left,0.848,space,10.108,right,1,0.625,0,0,0,5,1,nagy,1,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,0.578,0,1,1,2,1,nehéz,1,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,right,0,0.544,0,0,0,19,1,jákfű,2,left,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,0.677,0,1,1,1,1,tér,2,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,0.581,0,2,2,11,1,nyújt,2,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,right,1,0.583,0,0,0,17,1,gond,3,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,left,1,1.032,0,1,1,16,1,megköny,3,left,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,left,1,0.992,0,0,0,11,1,szimboló,4,left,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,left,1,0.759,0,1,1,15,1,recialice,4,left,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,0,3,3,3,1,blocks/block_4.xlsx
,,,,,,,,right,1,0.563,0,0,0,10,1,komplex,5,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,0.598,0,1,1,1,1,spanyol,5,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,0,4,4,4,1,blocks/block_5.xlsx
,,,,,,,,right,1,0.646,0,0,0,7,1,gondoskodik,6,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,left,1,0.862,0,1,1,3,1,falvangú,6,left,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,0,5,5,5,1,blocks/block_6.xlsx
,,,,,,,,right,1,0.643,0,0,0,23,1,kedvezmény,7,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,0.767,0,1,1,2,1,réteg,7,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,0,6,6,6,1,blocks/block_7.xlsx
,,,,,,,,right,1,0.747,0,0,0,3,1,felsőfokú,8,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,0.598,0,1,1,18,1,kéz,8,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,0,7,7,7,1,blocks/block_8.xlsx
,,,,,,,,left,1,0.808,0,0,0,2,1,konfúzusza,9,left,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,right,1,0.509,0,1,1,0,1,rock,9,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,0,8,8,8,1,blocks/block_9.xlsx
,,,,,,,,right,1,0.793,0,0,0,19,1,trend,10,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,left,1,0.668,0,1,1,9,1,daragasi,10,left,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,0,9,9,9,1,blocks/block_10.xlsx
,,,,,,,,right,1,0.686,0,0,0,12,1,bolgár,11,right,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,left,1,0.792,0,1,1,2,1,meggyabb,11,left,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,,,,,,
,,,,,,,,,,,,,,,,,,,5059,nő,1962,20,2020-09-26_13h15.41.029,lexdecspan,2020.1.2,MacIntel,60,0,10,10,10,1,blocks/block_11.xlsx
