ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
right,12.41693,right,1.071765,left,0.74281,right,10.69316,left,1,1.7771,0,0,0,6,1,likálható,1,left,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.67182,0,1,1,9,1,kép,1,right,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,right,1,0.80126,0,0,0,7,1,század,2,right,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.605735,0,1,1,21,1,rész,2,right,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,right,1,0.72341,0,0,0,14,1,gazdag,3,right,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.73901,0,1,1,5,1,igény,3,right,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,right,1,0.64428,0,0,0,22,1,boldog,4,right,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.631245,0,1,1,19,1,módszer,4,right,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,0,3,3,3,1,blocks/block_4.xlsx
,,,,,,,,right,1,0.56176,0,0,0,7,1,hiányzik,5,right,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,0.8458,0,1,1,2,1,storka,5,left,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,0,4,4,4,1,blocks/block_5.xlsx
,,,,,,,,right,1,0.73743,0,0,0,7,1,gondoskodik,6,right,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,1.094225,0,1,1,20,1,csomozdoni,6,left,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,0,5,5,5,1,blocks/block_6.xlsx
,,,,,,,,right,1,1.046895,0,0,0,18,1,tanács,7,right,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.53688,0,1,1,16,1,fut,7,right,2101,férfi,1995,18,2020-09-24_18h35.28.478,lexdecspan,2020.1.2,Win32,60,,,,,,
